,state,NAME,males,females,lat,lng
0,AK,Alaska ,24,8,63.588753,-154.493062
1,AL,Alabama ,224,41,32.318231,-86.902298
2,AR,Arkansas ,101,21,35.20105,-91.831833
3,AZ,Arizona ,210,39,34.048928,-111.093731
4,CA,California ,1257,166,36.778261,-119.417932
5,CO,Colorado ,114,41,39.550051,-105.782067
6,CT,Connecticut ,81,27,41.603221,-73.087749
7,DC,Dist. of Columbia,102,9,38.905985,-77.033418
8,DE,Delaware ,47,10,38.910832,-75.52767
9,FL,Florida ,579,119,27.664827,-81.515754
10,GA,Georgia ,311,67,32.157435,-82.907123
11,HI,Hawaii ,7,6,19.898682,-155.665857
12,IA,Iowa ,43,8,41.878003,-93.097702
13,ID,Idaho ,21,4,44.068202,-114.742041
14,IL,Illinois ,523,53,40.633125,-89.398528
15,IN,Indiana ,337,59,40.551217,-85.602364
16,KS,Kansas ,65,16,39.011902,-98.484246
17,KY,Kentucky ,137,36,37.839333,-84.270018
18,LA,Louisiana ,365,49,31.244823,-92.145024
19,MA,Massachusetts ,70,8,42.407211,-71.382437
20,MD,Maryland ,294,29,39.045755,-76.641271
21,ME,Maine ,23,7,45.253783,-69.445469
22,MI,Michigan ,412,83,44.314844,-85.602364
23,MN,Minnesota ,95,13,46.729553,-94.6859
24,MO,Missouri ,300,56,37.964253,-91.831833
25,MS,Mississippi ,114,27,32.354668,-89.398528
26,MT,Montana ,28,1,46.879682,-110.362566
27,NC,North Carolina ,386,89,35.759573,-79.0193
28,ND,North Dakota ,8,1,47.551493,-101.002012
29,NE,Nebraska ,47,7,41.492537,-99.901813
30,NH,New Hampshire ,18,7,43.193852,-71.572395
31,NJ,New Jersey ,252,24,40.058324,-74.405661
32,NM,New Mexico ,68,17,34.97273,-105.032363
33,NV,Nevada ,96,19,38.80261,-116.419389
34,NY,New York ,310,45,43.299428,-74.217933
35,OH,Ohio ,450,84,40.417287,-82.907123
36,OK,Oklahoma ,154,36,35.007752,-97.092877
37,OR,Oregon ,70,20,43.804133,-120.554201
38,PA,Pennsylvania ,470,78,41.203322,-77.194525
39,RI,Rhode Island ,17,4,41.580095,-71.477429
40,SC,South Carolina ,167,57,33.836081,-81.163725
41,SD,South Dakota ,21,1,43.969515,-99.901813
42,TN,Tennessee ,278,57,35.517491,-86.580447
43,TX,Texas ,817,179,31.968599,-99.901813
44,UT,Utah ,40,10,39.32098,-111.093731
45,VA,Virginia ,255,47,37.431573,-78.656894
46,VT,Vermont ,8,4,44.558803,-72.577841
47,WA,Washington ,122,16,47.751074,-120.740139
48,WI,Wisconsin ,141,28,43.78444,-88.787868
49,WV,West Virginia ,66,11,38.597626,-80.454903
50,WY,Wyoming ,8,6,43.075968,-107.290284
